,DATE,ACHIEVEMENT,PLATFORM,CRITERIA,LINK
,10-05-2019,NATIONAL CHILDREN SCIENCE CONGRESS,SCHOOL,COMPETITION,https://drive.google.com/file/d/1zWqKtxrIjWhK4DlGTrXknbsjC1sribGi/view?usp=drive_link
,01-07-2022,ADVANCE EXCEL,RAJ COMPUTERS,COURSE,https://drive.google.com/file/d/1AkN3soAwhi9KfxWY7kf4NL8Gld9H9JGX/view?usp=drive_link
,04-03-2022,SKY JACK,DJS S4DS,HACKATHON,https://drive.google.com/file/d/1lHSHBmIZfZvNkP2jo6vW43YVBXpCQEXY/view?usp=drive_link
,28-08-2022,MATLAB ONRAMP,MATLAB,COURSE,https://drive.google.com/file/d/16pfjG9fZU7tlmWIQp1rP_eBUpaibIaIE/view?usp=drive_link
,01-09-2022,BLOCKCHAIN BASICS,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1Y8zcsjl5S0l6CHnEq0Yl9c8ED9Wy4dI0/view?usp=drive_link
,05-09-2022,C++ PROGRAMMING,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1Wc84JYK_OkKTQaVOYD04s-c2eISwph1C/view?usp=drive_link
,10-09-2022,FRONT END DEVELOPMENT HTML,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1kkyPq1mJ1o3tYB64QF5bWZM0e3FFA0hv/view?usp=drive_link
,15-09-2022,FRONT END DEVELOPMENT CSS,GREAT LEARNING,COURSE,https://drive.google.com/file/d/19gLftcN7sA04fEHh7K6H1YWBwOWlPAsR/view?usp=drive_link
,20-09-2022,PROGRAMMING BASICS,GREAT LEARNING,COURSE,https://drive.google.com/file/d/14G7DloUm7LslHiXa0CYzAeTwDs_98BG2/view?usp=drive_link
,21-09-2022,HEAP SORT IN C,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1vwDRQX9XEHuIZ1iTZwKniXrs_swmJ1oS/view?usp=drive_link
,22-09-2022,PALLINDROME IN C,GREAT LEARNING,COURSE,https://drive.google.com/file/d/12TWyqM1Y-6rVOj9SQFACbcasrhRwaeyM/view?usp=drive_link
,23-09-2022,TOWER OF HANOI,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1a-DTS_WbSwXzJk2byLcbOersA8a6_D5S/view?usp=drive_link
,24-09-2022,MATLAB ,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1FiQaplA85ruqa_umm3i_N_9ZWmtwejp-/view?usp=drive_link
,25-09-2022,MATRIX MULTIPLICATION IN C,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1-CSUOaQ5nOlDnuoWmESUyyL5Z9PEz1Ey/view?usp=drive_link
,26-09-2022,C++ TUTORIAL,GREAT LEARNING,COURSE,https://drive.google.com/file/d/19PczrhrmtGth5R3YeFs_3OdhfUYas2xu/view?usp=drive_link
,27-09-2022,OOPS IN C++,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1weRtmabl2L6j1Osjx_cv68eXc1n6OpNF/view?usp=drive_link
,28-09-2022,PYTHON FUNDAMENTALS ,GREAT LEARNING,COURSE,https://drive.google.com/file/d/14KYBo5h6u5yaJg8Ht_b6Rm9dVaRNsbB4/view?usp=drive_link
,07-12-2022,FLUTTER WORKSHOP,CSI,WORKSHOP,https://drive.google.com/file/d/1_9XbktmRhqMESp1-y_KPL3DkBo5wg_DQ/view?usp=drive_link
,02-01-2023,CODING ENVIRONMENT,GREAT LEARNING,COURSE,https://drive.google.com/file/d/1Zt4GlmkMpEfWOMmT50DX5LQpnN1rv8GO/view?usp=drive_link
